iter	Logloss
0	0.6913254599
1	0.689817504
2	0.6884671565
3	0.6872380329
4	0.685643253
5	0.684029803
6	0.6825579938
7	0.6811013238
8	0.6794195539
9	0.6781337074
10	0.6769386417
11	0.6755327079
12	0.6742479223
13	0.6730532868
14	0.6717674349
15	0.6698766065
16	0.6686669053
17	0.6673285923
18	0.6662783908
19	0.6654140605
20	0.6643620149
21	0.6630280648
22	0.6622150262
23	0.6610985877
24	0.6600843366
25	0.6589287905
26	0.6579808203
27	0.6571351632
28	0.6560660299
29	0.6550091049
30	0.6539685132
31	0.6526904487
32	0.6516550123
33	0.6508778743
34	0.6502456966
35	0.6495320592
36	0.6485409389
37	0.647456587
38	0.6463791368
39	0.6453013976
40	0.644281768
41	0.6430657536
42	0.6420448713
43	0.6412487696
44	0.6401686787
45	0.6390437942
46	0.6382660738
47	0.6374035841
48	0.63669511
49	0.6354407418
50	0.6345199226
51	0.6337565802
52	0.63294986
53	0.6318289581
54	0.6308962037
55	0.6302187983
56	0.6290166998
57	0.6282763109
58	0.627700628
59	0.6271317092
60	0.6264931327
61	0.6257659385
62	0.6249322074
63	0.6243766709
64	0.6238528894
65	0.6230985208
66	0.6225550016
67	0.621413682
68	0.6208076352
69	0.6200846254
70	0.619467541
71	0.71	0.6167472	0.672	0.6160872575
73	0.6154989447
74	0.6149728304
75	0.614392233
76	0.6136376356
77	0.6128740692
78	0.612224141
79	0.6115554333
80	0.610972001
81	0.6098711667
82	0.6090022554
83	0.6083891621
84	0.6078816451
85	0.6073154729
86	0.6067718441
87	0.6062218698
88	0.6058487308
89	0.6052603034
90	0.6046492586
91	0.6040496124
92	0.6034154905
93	0.6027676639
94	0.6022037975
95	0.6015961287
96	0.6010964987
97	0.6004684478
98	0.5996655681
99	0.5988912264
100	0.5983519322
101	0.5978603842
102	0.5973893224
103	0.5967835164
104	0.5964714772
105	0.5959276451
106	0.5951274846
107	0.5945483643
108	0.5939134558
109	0.5933167643
110	0.592760916
111	0.5922799923
112	0.5917847332
113	0.5913261429
114	0.5905956738
115	0.5902292818
116	0.5896474287
117	0.5893270918
118	0.5889350622
119	0.5883448258
120	0.587868211
121	0.5874847337
122	0.5869687377
123	0.5865523807
124	0.5859402013
125	0.5856285392
126	0.5850907658
127	0.5845727668
128	0.5841812474
129	0.5836898735
130	0.5828927072
131	0.5823288523
132	0.5817062578
133	0.5812678969
134	0.5807742815
135	0.5802590093
136	0.5797042588
137	0.5793750564
138	0.5789531793
139	0.5783826845
140	0.5779501837
141	0.5772748769
142	0.5768049044
143	0.5763544287
144	0.5759479217
145	0.5753887723
146	0.5751155365
147	0.5746336328
148	0.5741261837
149	0.5736511186
150	0.5730105991
151	0.5725990489
152	0.572088278
153	0.5717751441
154	0.5713452263
155	0.5709914083
156	0.5706516603
157	0.5704253914
158	0.5700043013
159	0.569423621
160	0.5689893101
161	0.568561644
162	0.5681752181
163	0.5676248566
164	0.5671473865
165	0.5666399109
166	0.5659910232
167	0.5655580679
168	0.565054727
169	0.5644004868
170	0.563788241
171	0.5632502536
172	0.5628711081
173	0.5625026229
174	0.5620995265
175	0.5616166623
176	0.5611246061
177	0.5608444454
178	0.5606382729
179	0.5601294503
180	0.5597732753
181	0.559416995
182	0.5589441182
183	0.5586214771
184	0.5582659657
185	0.5578383806
186	0.557227289
187	0.5569758659
188	0.5564603158
189	0.5560140378
190	0.5557267706
191	0.5553199288
192	0.5550100965
193	0.5546224978
194	0.5543045745
195	0.5539577598
196	0.5535552513
197	0.5531321118
198	0.5529316727
199	0.5525476307
200	0.5520605827
201	0.5515113151
202	0.5511161838
203	0.5504296673
204	0.5499853291
205	0.5496915552
206	0.549282958
207	0.5488476881
208	0.5485507026
209	0.5481975812
210	0.5479549746
211	0.5476852709
212	0.5472764249
213	0.5469418718
214	0.5466059509
215	0.5463523163
216	0.546079026
217	0.5456324717
218	0.545295819
219	0.5447648293
220	0.5444304372
221	0.5441143511
222	0.5436431855
223	0.5432878509
224	0.5429930728
225	0.5425263681
226	0.5421857262
227	0.5418002948
228	0.5414456124
229	0.5411942398
230	0.5410049395
231	0.5408015595
232	0.5404929282
233	0.5401386406
234	0.5398150463
235	0.5395362456
236	0.5392182563
237	0.5387965772
238	0.5384340415
239	0.5381650535
240	0.5379094716
241	0.5375077529
242	0.5371417185
243	0.5365871227
244	0.536270484
245	0.5360123638
246	0.5356179682
247	0.5353176745
248	0.5348628443
249	0.5346848407
250	0.5343505024
251	0.5340597129
252	0.5336791918
253	0.5333287141
254	0.5332054201
255	0.5328438087
256	0.5325081407
257	0.5319796967
258	0.5317598031
259	0.5313541189
260	0.5310602159
261	0.5307062488
262	0.5305148281
263	0.5301974665
264	0.5297149325
265	0.5292177929
266	0.5289215653
267	0.5286092727
268	0.5281239533
269	0.5278033308
270	0.5273161863
271	0.5269726955
272	0.5266105894
273	0.5264750378
274	0.5261708525
275	0.5259065738
276	0.5255136429
277	0.5252737492
278	0.5249962732
279	0.5247687979
280	0.5246366496
281	0.5243406807
282	0.5240394865
283	0.5236952034
284	0.5231710309
285	0.5228565838
286	0.5223666011
287	0.52213482
288	0.5217999936
289	0.5216094052
290	0.5211807314
291	0.5209229943
292	0.5205681777
293	0.5202599788
294	0.5197760235
295	0.5195336439
296	0.5192157531
297	0.5189933178
298	0.5186829811
299	0.5184121198
300	0.5180023951
301	0.5177993114
302	0.5174537248
303	0.5170941498
304	0.5168978862
305	0.5166865784
306	0.5163545076
307	0.5161820844
308	0.5160219736
309	0.5156925457
310	0.5153393816
311	0.5150576614
312	0.5147920058
313	0.514604881
314	0.5140808367
315	0.5138845012
316	0.5134188238
317	0.5131310303
318	0.5129941736
319	0.5126833113
320	0.5123788424
321	0.5119825261
322	0.5115291045
323	0.511326681
324	0.510876893
325	0.5105349056
326	0.5101218219
327	0.5097433698
328	0.5094547294
329	0.5091664968
330	0.508831009
331	0.5084704023
332	0.50825876
333	0.508060565
334	0.50779557
335	0.5074161325
336	0.5070731515
337	0.5068057233
338	0.506518397
339	0.5061815127
340	0.5058550865
341	0.5055421014
342	0.5053308973
343	0.5049627351
344	0.5047347926
345	0.5042358006
346	0.5039214515
347	0.5036159478
348	0.5033007563
349	0.5029667991
350	0.5025933673
351	0.5023461941
352	0.5020331785
353	0.5019436535
354	0.5014192827
355	0.5010721688
356	0.5008241806
357	0.5005435785
358	0.5002106698
359	0.4997266605
360	0.4996285202
361	0.4993232123
362	0.4989394328
363	0.4986820238
364	0.4983776639
365	0.498024153
366	0.4977749379
367	0.4975449348
368	0.4973316866
369	0.4969452752
370	0.4967507539
371	0.4962788514
372	0.4959456052
373	0.4958126469
374	0.495444831
375	0.495188234
376	0.494968045
377	0.4947940198
378	0.4943612133
379	0.4941540241
380	0.4938450872
381	0.4935588379
382	0.4932368518
383	0.493062715
384	0.492916851
385	0.4927361474
386	0.4924440128
387	0.4921523056
388	0.4918287454
389	0.4916795132
390	0.491523908
391	0.4912877516
392	0.4910248444
393	0.4906764067
394	0.4904080935
395	0.4900254002
396	0.4898226373
397	0.489631977
398	0.4893490513
399	0.4891449682
400	0.488950632
401	0.4886876785
402	0.4882889801
403	0.4880066442
404	0.487593762
405	0.4874489954
406	0.4872040109
407	0.4871475195
408	0.4870253355
409	0.4867825751
410	0.4865903098
411	0.4862828801
412	0.4859346857
413	0.4856028804
414	0.4853618516
415	0.4850459228
416	0.4846919921
417	0.4845558201
418	0.4843451399
419	0.484217638
420	0.4838726056
421	0.4835603638
422	0.4831763044
423	0.4828649784
424	0.4824980828
425	0.4822597577
426	0.4819617366
427	0.4818089064
428	0.4814966344
429	0.4810839873
430	0.4808241308
431	0.4805648733
432	0.4803693559
433	0.4802041757
434	0.4800150366
435	0.4796257461
436	0.4794074198
437	0.4792179507
438	0.4788420983
439	0.4785318121
440	0.478392216
441	0.478222839
442	0.4779471812
443	0.4776955439
444	0.4774551294
445	0.477249136
446	0.4770862212
447	0.4766551018
448	0.4763052342
449	0.4760208058
450	0.4758217375
451	0.475586488
452	0.4753804262
453	0.4751491549
454	0.4748729428
455	0.4746717142
456	0.474513409
457	0.4742564451
458	0.4737656335
459	0.473586751
460	0.4733947644
461	0.473152679
462	0.4729380086
463	0.4726181501
464	0.4722126652
465	0.4721130623
466	0.4717528458
467	0.4715793631
468	0.4713029795
469	0.4709359909
470	0.4707363609
471	0.4704840842
472	0.4702945341
473	0.4700372195
474	0.4697798623
475	0.4694739545
476	0.4691871758
477	0.4689314412
478	0.4686327708
479	0.4683849078
480	0.468251189
481	0.4679791212
482	0.467625895
483	0.4674600236
484	0.4672469569
485	0.4670325387
486	0.4666418551
487	0.4662609729
488	0.4659535061
489	0.4656682873
490	0.4655391287
491	0.4652941109
492	0.465110585
493	0.4647402819
494	0.4643511957
495	0.4641140098
496	0.4639731129
497	0.4637421544
498	0.4635099376
499	0.4633506646
500	0.4631231751
501	0.4629321803
502	0.4627496383
503	0.4625397979
504	0.4622116041
505	0.461968758
506	0.4616873827
507	0.4613940006
508	0.4612412177
509	0.4610693994
510	0.4608107155
511	0.4603870044
512	0.460180302
513	0.4599945053
514	0.4598127771
515	0.4594440734
516	0.4592249199
517	0.4589186534
518	0.4586681733
519	0.4586164293
520	0.4583295515
521	0.4581986928
522	0.4580563889
523	0.4579213657
524	0.4577490768
525	0.4573549114
526	0.4570587549
527	0.4568150138
528	0.4565494625
529	0.4564038644
530	0.4561898406
531	0.4559509731
532	0.4557894206
533	0.4554499438
534	0.4552218436
535	0.4548535429
536	0.4545655259
537	0.4543194255
538	0.4539685944
539	0.4537353988
540	0.4535403789
541	0.453391354
542	0.4531546836
543	0.4528740765
544	0.4525735117
545	0.4523140862
546	0.4519656146
547	0.4517342079
548	0.4513232063
549	0.4509901946
550	0.4507127342
551	0.4505023907
552	0.4501155714
553	0.4499119107
554	0.4496440243
555	0.4494199813
556	0.4492202489
557	0.4490710606
558	0.4488488201
559	0.4484447542
560	0.4482609146
561	0.4480701072
562	0.4478334762
563	0.4477427099
564	0.4473327056
565	0.447040476
566	0.4468776485
567	0.4465068121
568	0.4461533597
569	0.4460025225
570	0.4458152805
571	0.4454333583
572	0.4452760554
573	0.444873581
574	0.4445951361
575	0.4441694454
576	0.4439750364
577	0.4437133207
578	0.4435378624
579	0.4433905858
580	0.4431739959
581	0.4430017022
582	0.4428576036
583	0.4426251414
584	0.442495582
585	0.4422018925
586	0.4420983797
587	0.4419378428
588	0.4417438048
589	0.4415235528
590	0.4413489465
591	0.4412708876
592	0.4411049725
593	0.4408250572
594	0.4405991951
595	0.440349416
596	0.4399491258
597	0.4398810163
598	0.4396332765
599	0.4393887951
600	0.4392929425
601	0.4391610909
602	0.4389201792
603	0.438659702
604	0.4383343397
605	0.438067689
606	0.4379468753
607	0.4377236041
608	0.4374629443
609	0.4371218345
610	0.4368345451
611	0.4364779984
612	0.4361914104
613	0.4359369909
614	0.4356636196
615	0.435490191
616	0.43540319
617	0.435062418
618	0.434765956
619	0.4346595838
620	0.4342775012
621	0.4341482612
622	0.4339109824
623	0.4337410227
624	0.4335060937
625	0.4333841499
626	0.4331525767
627	0.4328276244
628	0.4325293587
629	0.4322474453
630	0.4320789634
631	0.4318367037
632	0.4315020318
633	0.4313186184
634	0.4309299197
635	0.4306535254
636	0.4304456364
637	0.4302476862
638	0.4299797715
639	0.4295952926
640	0.4293684619
641	0.4291846897
642	0.4288406003
643	0.4286399536
644	0.4283319643
645	0.428005008
646	0.4276819974
647	0.4274365592
648	0.4273270124
649	0.4271796028
650	0.4270341326
651	0.4268073255
652	0.4263580239
653	0.426065101
654	0.4257289697
655	0.4256258795
656	0.4254782479
657	0.4251948517
658	0.4249938701
659	0.4247639707
660	0.4246433732
661	0.4245418833
662	0.424373322
663	0.4242586691
664	0.4239647193
665	0.423584368
666	0.423253131
667	0.423071903
668	0.4228934552
669	0.4226343675
670	0.4224426748
671	0.4222967449
672	0.4221163075
673	0.4216368775
674	0.421343946
675	0.4211909388
676	0.4209919848
677	0.4207258625
678	0.4206905739
679	0.4204447058
680	0.4202409843
681	0.4196930655
682	0.4195016072
683	0.4193212453
684	0.4191326836
685	0.418902592
686	0.41862492
687	0.4182669169
688	0.4180956558
689	0.4179400078
690	0.4177402575
691	0.4174611376
692	0.4172747309
693	0.4169803669
694	0.4166769096
695	0.41646248
696	0.4163336556
697	0.4161974244
698	0.4159930994
699	0.4158711799
700	0.415687775
701	0.4153628434
702	0.4152170049
703	0.4150022844
704	0.4146811073
705	0.4143085331
706	0.41379922
707	0.4136190703
708	0.4133115518
709	0.413112477
710	0.4128933578
711	0.412702026
712	0.4125135186
713	0.4123784227
714	0.4121252108
715	0.411703693
716	0.4115823552
717	0.4113772979
718	0.4112310829
719	0.4110797189
720	0.410875633
721	0.4107163232
722	0.4104758694
723	0.4102893977
724	0.4101429215
725	0.4100114209
726	0.4098169111
727	0.4096788465
728	0.4093651711
729	0.4092269089
730	0.4090091242
731	0.4088081848
732	0.4085412839
733	0.4083874693
734	0.4081793959
735	0.4080434246
736	0.4079191361
737	0.4078079791
738	0.4075467668
739	0.4075184672
740	0.4072596307
741	0.4071016519
742	0.4068486386
743	0.4067045615
744	0.4063928477
745	0.4059128076
746	0.4057725757
747	0.4054995317
748	0.4053337232
749	0.405055524
750	0.4049616877
751	0.4046732895
752	0.404330456
753	0.4039953719
754	0.4038138363
755	0.4035667174
756	0.4032598751
757	0.4030961646
758	0.4028047989
759	0.4023878265
760	0.402218438
761	0.4019800004
762	0.4018398338
763	0.4017001049
764	0.4014629213
765	0.4011743757
766	0.4010133401
767	0.4006493271
768	0.4002294621
769	0.4001243059
770	0.3998762711
771	0.3997440928
772	0.3995243835
773	0.3993280186
774	0.3989443559
775	0.398746308
776	0.3985378165
777	0.3981939928
778	0.3980953084
779	0.397808261
780	0.3975660822
781	0.3973799445
782	0.3972363507
783	0.3970551947
784	0.3966646969
785	0.3963494763
786	0.3960766994
787	0.3958357203
788	0.3956611347
789	0.3954281742
790	0.3950579427
791	0.3948659147
792	0.394795916
793	0.3945570425
794	0.394334852
795	0.3941474297
796	0.3939845734
797	0.3937606664
798	0.3936043129
799	0.3934152495
800	0.3932244935
801	0.3929350829
802	0.3928604453
803	0.3927194166
804	0.3923360973
805	0.3921248706
806	0.3919697556
807	0.3916681941
808	0.3913005239
809	0.3910693688
810	0.3909105902
811	0.3907557024
812	0.3905444074
813	0.3902488597
814	0.3901243488
815	0.3898911741
816	0.3897595061
817	0.3895979573
818	0.3893559619
819	0.3890031403
820	0.3886993871
821	0.3886042616
822	0.3884944794
823	0.3880513085
824	0.3879994223
825	0.3877331876
826	0.3874915999
827	0.387317111
828	0.3870971781
829	0.3868169024
830	0.3865123603
831	0.3861970141
832	0.3859473132
833	0.3855118238
834	0.3852829882
835	0.3851633987
836	0.3848588921
837	0.384620886
838	0.3843575678
839	0.3840995855
840	0.3838791645
841	0.3837006206
842	0.3834016577
843	0.3830057537
844	0.3825640568
845	0.3823000041
846	0.3821946368
847	0.3820241746
848	0.3819002355
849	0.3815694083
850	0.3813590824
851	0.381137654
852	0.3810557267
853	0.3808456876
854	0.3805956728
855	0.3804814641
856	0.3803520328
857	0.380013799
858	0.3798283504
859	0.3796181963
860	0.3794252354
861	0.3791354226
862	0.3788780357
863	0.3787013629
864	0.3785653641
865	0.3783407793
866	0.3780980758
867	0.3778877066
868	0.377673038
869	0.3774044509
870	0.377253246
871	0.3771073599
872	0.3768180416
873	0.376623604
874	0.3764619424
875	0.3762437254
876	0.3761742065
877	0.3760841137
878	0.3758763557
879	0.3756849711
880	0.3756276124
881	0.3753730352
882	0.3751776587
883	0.3749764514
884	0.3748154845
885	0.3746005901
886	0.3744497966
887	0.3742217115
888	0.3741142
889	0.3739958948
890	0.3737019987
891	0.3734658724
892	0.3732891892
893	0.3729394702
894	0.3727206043
895	0.3725908908
896	0.372295816
897	0.371977052
898	0.3718174584
899	0.3715631368
900	0.3712134744
901	0.3709541869
902	0.3704959999
903	0.3704023919
904	0.3700808747
905	0.3699251738
906	0.3697197204
907	0.3695412684
908	0.3693124311
909	0.3690313603
910	0.3689150323
911	0.3687440656
912	0.3685860381
913	0.3683544863
914	0.3681671635
915	0.3680179254
916	0.3679292875
917	0.3676598401
918	0.3672197434
919	0.3670439873
920	0.3668294233
921	0.3665913868
922	0.3664166977
923	0.3662310919
924	0.3660996318
925	0.365975934
926	0.3656667258
927	0.3654218483
928	0.3652226873
929	0.3650530899
930	0.3648257563
931	0.3645687004
932	0.3642569596
933	0.3641679689
934	0.3639295926
935	0.3636875436
936	0.3635042075
937	0.3634528836
938	0.3630870432
939	0.3627489055
940	0.3626396566
941	0.3625947309
942	0.3623750146
943	0.3622213786
944	0.3620617299
945	0.3616581637
946	0.3615098878
947	0.3612880518
948	0.3611406415
949	0.3610765133
950	0.3608868973
951	0.3607335648
952	0.3606060022
953	0.3605275353
954	0.3603384081
955	0.3600922918
956	0.3599612104
957	0.359748634
958	0.3596460986
959	0.3594720003
960	0.3592699477
961	0.3591089039
962	0.3587080014
963	0.3586006372
964	0.3583356285
965	0.3582250658
966	0.3580318253
967	0.3578130601
968	0.3575042605
969	0.3572282
970	0.3571272601
971	0.356894971
972	0.3565653044
973	0.3564893192
974	0.3561478838
975	0.3559550232
976	0.355777097
977	0.3554093617
978	0.3551599578
979	0.3548989956
980	0.3547007676
981	0.3545489889
982	0.3543716606
983	0.354174825
984	0.3539885061
985	0.3537376709
986	0.3536005606
987	0.3534723034
988	0.3531723962
989	0.3530140603
990	0.3527373197
991	0.3524869614
992	0.3524325685
993	0.3522985272
994	0.3522496615
995	0.3518905618
996	0.3516110371
997	0.3515051438
998	0.3512690975
999	0.3511903906
481
999	0.3460511468

